x, y
1.1642949547218642, 80.13071895424837
1.2936610608020693, 77.64705882352942
1.552393272962485, 72.54901960784315
2.0000000000000018, 68.28961397299098
2.1992238033635196, 65.49019607843138
2.7166882276843456, 62.74509803921569
3.234152652005175, 60.13071895424837
4.0000000000000036, 57.84841850948077
5.174644243208281, 53.72549019607843
6.597671410090555, 50.45751633986929
8, 48.322425930825794
9.96119016817594, 45.88235294117648
12, 43.77072338069553
13.971539456662356, 42.09150326797386
16.041397153945667, 40.65359477124184
20.000000000000004, 38.40493196412831
22.00000000000001, 37.21158405012258
24.000000000000004, 36.27980406269987
26.90815006468306, 35.16339869281046
29.624838292367404, 34.2483660130719
32, 33.517300627957894
34, 33.01840211461301
36.000000000000014, 32.55541416938755
38.000000000000014, 32.15752925937737
42, 31.359352470106842
44.372574385511, 30.98039215686275
47.21862871927556, 30.588235294117652
49.80595084087969, 30.196078431372555
54, 29.74781964053777
57.17981888745149, 29.15032679738563
60, 28.83135864866084
62, 28.576538115420234
64.00000000000001, 28.415834729128164
66.00000000000001, 28.195602331201286
68, 28.022339152937462
70.00000000000001, 27.775058082589794
72.00000000000001, 27.61013870061933
74, 27.504046074354235
76.00000000000001, 27.27661227232514
78, 27.127474032652657
79.94825355756792, 26.928104575163403
82.00000000000001, 26.769940345126386
85.25226390685641, 26.535947712418306
90, 25.980471841352895
93.40232858990944, 25.751633986928113
96.00000000000001, 25.474157829914773
98.00000000000001, 25.31211207136326
100, 25.126422576789906
102.00000000000001, 24.99008172916035
104, 24.84055303413632
106.00000000000001, 24.66406572646926
108.00000000000001, 24.503587652406665
110.09055627425616, 24.313725490196077
112.00000000000001, 24.143024513537554
114.00000000000001, 23.97978281735398
116.00000000000003, 23.781943254543435
118, 23.636117808770464
120, 23.497731370945928
122.00000000000003, 23.19066055117338
124, 23.05603338924668
126, 22.853582686577198
128, 22.7157320563675
130, 22.54181012684252
132.00000000000003, 22.40680459312584
134, 22.16503358149754
136, 22.086187630254216
138.00000000000003, 21.851661549014096
140, 21.5789176441491
142.00000000000003, 21.52447371868581
144, 21.387950664943602
146, 21.176990897867498
149.8059508408797, 20.784313725490193
