servicelife, energy
11.784996757837, 58.47175374717983
12.262710873470603, 54.27703442267741
13.466745430220605, 50.08231509817499
13.525241036216556, 50.08231509817499
14.668342670054109, 45.91064368204895
14.753648762131537, 45.93369159042533
16.528015477342066, 41.692876449170136
18.507116813538424, 37.45206130791494
18.56398754159004, 37.43669603566402
20.45519775261572, 33.311818857756705
21.44164638100199, 36.8067198733761
22.450331125827816, 32.38568588469184
23.509933774834437, 33.1013916500994
24.56953642384106, 32.92246520874751
25.502216363887623, 29.04418433220897
26.55629139072848, 29.880715705765397
28.543046357615896, 29.522862823061615
30.529801324503314, 25.765407554671953
31.589403973509935, 27.19681908548708
34.06432320562837, 26.325240310206922
36.31902883930566, 27.01596839508693
37.22896048813156, 27.028260612887664
39.53830425894492, 22.8380978863631
41.52317880794702, 24.512922465208746
43.0070264581761, 24.13522245760042
44.30463576158941, 23.618290258449292
45.36147459951316, 20.05089048374279
46.40952087360729, 24.07768933293154
47.75004517768117, 23.945986999352186
48.50073878796255, 23.973644489403853
49.524411892891706, 23.955206162702737
50.51396256098988, 20.027842575366407
51.45695364238411, 21.29224652087474
53.00490044965082, 21.221481619701393
54.635761589403984, 21.11332007952285
55.695364238410605, 20.3976143141153
56.96747779343211, 20.396609109388592
59.95689797452931, 20.022990384129272
60.667283209139015, 20.048329605034297
61.52317880794702, 20.93439363817096
63.002774441125524, 20.762949547792218
64.56953642384106, 20.576540755467192
66.02649006622516, 20.03976143141152
66.99509955034922, 20.156910862274174
68.54304635761589, 20.21868787276341
70.00685358011444, 20.153999547531896
71.32450331125828, 21.11332007952285
72.74731518946119, 21.195603266436677
74.67264783731784, 21.18945715753631
75.43046357615894, 17.355864811133188
76.49006622516556, 17.53479125248508
77.97814953853351, 17.61431288795194
80.46357615894041, 16.998011928429406
81.96586973050606, 17.514407514530944
85.46386848511266, 17.527144516528423
89.62206655115357, 17.272337085033925
94.05608764824483, 17.53098583459115
97.97827219287151, 17.53381627947948
100.57157739202536, 16.881803081989588
101.3907284768212, 15.029821073558637
103.02401817246674, 14.940755516291048
105.49668874172187, 14.850894632206746
106.99097018763662, 15.15114155172678
109.4701986754967, 15.029821073558637
111.72185430463577, 15.7455268389662
114.97124573469542, 15.676397473904544
118.95459125527938, 15.682705322512817
123.01976615541615, 16.41582165237982
126.98234349919747, 16.628276089849336
130.10454646923137, 16.77232551720175
133.60967900814617, 17.123806119941648
137.09045920966454, 17.240818577852536
140.56909496442378, 17.68509047687249
144.2092994650052, 18.072062921712998
146.56862224017522, 18.068770363373517
148.47947870270963, 18.073379945048785
150.45858003890598, 14.118358867660788
